departamento,anio_referencia_y,mes_referencia_y,produccion_mensual_desde_semana_t,produccion_mensual_proxy_t,produccion_anual_departamental_t,area_cosechada_departamental_ha,rendimiento_departamental_t_ha,valor_cosecha_anual_millones,PRECTOTCORR,IMERG_PRECTOT,lluvia_acum_4s,lluvia_acum_8s,T2M_mean,T2M_MAX_mean,T2M_MIN_mean,RH2M_mean,GWETROOT_mean,ALLSKY_SFC_SW_DWN_mean,WS2M_mean,anomalia_lluvia_semana_iso_mean,indice_climatico_base_x_mean,indice_climatico_ajustado_x_mean,dummy_exceso_lluvia_p75_any,dummy_estres_hidrico_p25_any,dummy_temp_max_alta_p75_any,precio_interno_cop_carga_mean,precio_externo_exdock_cent_usd_lb_mean,exportaciones_mensual_miles_sacos_mean,trm_promedio_semana_cop_usd_mean,diff_target_mensual,fecha_mes,mes_label
CAUCA,2023,10,272.3104895068833,301.4866133826208,2955.75,2565.66,1.273639482270683,11143094.64744758,21.13571428571429,284,65.89571428571429,106.4757142857143,21.54714285714286,25.70464285714286,18.85178571428571,84.96821428571428,0.7614285714285715,15.625,1.435714285714286,-0.1054464285714282,0.5197538882873806,0.8559261664862141,0,1,1,1383750.0,20.38,908.637,4237.865,-29.17612387573752,2023-10-01,2023-10
CAUCA,2023,11,384.1574482647487,333.9540871911738,2955.75,2565.66,1.796765502512798,11143094.64744758,21.86,355,104.1642857142857,196.13,21.80257142857143,26.55514285714286,18.74114285714286,84.622,0.7754285714285715,15.08857142857143,1.444571428571429,0.3971428571428571,0.486058835361202,0.8458176506083606,1,0,0,1410619.047619048,18.75,1104.61,4038.776,50.20336107357485,2023-11-01,2023-11
CAUCA,2023,12,287.0243770154434,317.7769888385266,2955.75,2565.66,1.3424586750330605,11143094.64744758,24.17142857142857,284,70.57285714285715,148.6671428571429,21.8675,26.2025,19.06142857142857,86.21928571428572,0.7835714285714286,13.8275,1.417857142857143,2.029910714285715,0.5238611167194489,0.8571583350158346,1,1,1,1467000.0,20.0,1066.685,3942.2475,-30.75261182308316,2023-12-01,2023-12
CAUCA,2024,1,208.765999471135,231.1337851287566,3373.6,2370.13,1.0569850572135788,16061885.36132928,6.611428571428571,284,56.49857142857143,127.0714285714286,22.79571428571429,28.31964285714286,18.86392857142857,81.36,0.7728571428571429,18.435,1.431428571428571,-2.467214285714286,0.3525619037359115,0.8057685711207734,0,0,1,1417678.571428571,21.0,937.134,3914.335,-22.3677856576216,2024-01-01,2024-01
CAUCA,2024,2,274.1713459958423,231.6158159632275,3373.6,2370.13,1.388133204486719,16061885.36132928,26.78714285714286,355,91.01571428571428,161.5314285714286,22.14828571428571,26.74942857142857,19.23771428571429,84.67257142857143,0.7811428571428571,15.73771428571429,1.577714285714286,1.115142857142857,0.5259118004328608,0.8577735401298583,0,1,1,1455914.285714286,26.0,1045.063,3930.926,42.55553003261485,2024-02-01,2024-02
CAUCA,2024,3,188.4189474999369,208.6066918749301,3373.6,2370.13,0.9539676600014524,16061885.36132928,11.50142857142857,284,54.99857142857143,131.9971428571428,22.49214285714286,27.37928571428571,19.33678571428572,83.36428571428571,0.7757142857142858,14.57357142857143,1.430714285714286,-1.837232142857143,0.3765111413342507,0.8129533424002752,0,0,1,1441214.285714286,26.25,1005.461,3895.665,-20.18774437499317,2024-03-01,2024-03
CAUCA,2024,4,166.9112102827615,178.833439588673,3373.6,2370.13,0.8450736978111486,16061885.36132928,26.25142857142858,284,76.78571428571429,131.7842857142857,22.08535714285714,26.74392857142857,19.11464285714286,84.54464285714286,0.7875,15.33107142857143,1.524642857142857,-0.2638392857142855,0.5764173991188126,0.8729252197356437,1,0,1,1659785.714285714,24.75,791.794,3865.705,-11.92222930591154,2024-04-01,2024-04
CAUCA,2024,5,300.6908345428955,269.9372673036574,3373.6,2370.13,1.5224017309239348,16061885.36132928,41.52,355,143.3514285714286,247.6828571428571,22.29514285714286,26.66228571428571,19.41142857142857,85.78742857142858,0.8162857142857144,14.74742857142857,1.323428571428571,2.491571428571429,0.6112349554387012,0.8833704866316104,1,0,0,1607542.857142857,22.5,935.22,3870.384,30.75356723923807,2024-05-01,2024-05
CAUCA,2024,6,263.6387310665721,282.4700689998986,3373.6,2370.13,1.3348064337394423,16061885.36132928,32.85857142857142,284,141.6128571428571,257.4185714285715,21.49642857142857,26.1925,18.47464285714286,85.27785714285714,0.8382142857142857,13.88607142857143,1.271785714285714,2.825178571428571,0.7465124554656586,0.9239537366396976,1,0,0,1825392.857142857,23.88,1023.959,4055.79,-18.83133793332655,2024-06-01,2024-06
CAUCA,2024,7,252.2789621670517,279.3088509706644,3373.6,2370.13,1.2772917713393863,16061885.36132928,18.28285714285714,284,115.1185714285714,256.7314285714286,22.05214285714286,27.82964285714286,18.1025,80.67857142857143,0.8296428571428571,14.34535714285714,1.06,1.192946428571429,0.5926012471387647,0.8777803741416293,1,0,1,1879714.285714286,25.25,1019.355,4035.035,-27.02988880361272,2024-07-01,2024-07
