fecha_semana_inicio,fecha_semana_fin,anio_referencia_y,mes_referencia_y,semana_iso,departamento,produccion_semanal_proxy_t,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,RH2M,GWETROOT,ALLSKY_SFC_SW_DWN,WS2M,lluvia_acum_4s,lluvia_acum_8s,anomalia_lluvia_semana_iso,t2m_max_ma_4s,gwetroot_ma_4s,gwettop_ma_4s,dummy_exceso_lluvia_p75,dummy_estres_hidrico_p25,dummy_temp_max_alta_p75,precio_interno_cop_carga,precio_externo_exdock_cent_usd_lb,exportaciones_mensual_miles_sacos,trm_promedio_semana_cop_usd,fecha_semana_label
2023-04-24,2023-04-30,2023,4,17,CALDAS,25.82040808788713,5.992857142857143,16.56857142857143,21.70714285714286,12.88285714285714,85.99714285714286,0.9414285714285714,15.05142857142857,0.2714285714285714,25.81,60.65285714285714,-0.5003571428571423,21.16785714285714,0.9482142857142856,0.9075,0,0,0,1994000.0,17.75,723.151,4576.77,2023-04-24
2023-05-01,2023-05-07,2023,5,18,CALDAS,35.59987793989619,0.5714285714285714,17.43571428571429,22.86714285714286,12.99857142857143,83.11857142857143,0.9028571428571428,20.42428571428572,0.2571428571428572,19.20857142857143,48.90714285714286,-4.256785714285714,21.62,0.935,0.8975,0,0,0,1959571.428571429,17.38,845.853,4634.27,2023-05-01
2023-05-08,2023-05-14,2023,5,19,CALDAS,35.59987793989619,4.947142857142858,16.70428571428571,21.05285714285714,13.55285714285714,88.27142857142857,0.8742857142857143,16.47,0.2714285714285714,16.70571428571429,43.58,-4.127142857142857,21.66321428571429,0.9185714285714286,0.8867857142857143,0,0,1,1905714.285714286,17.38,845.853,4551.27,2023-05-08
2023-05-15,2023-05-21,2023,5,20,CALDAS,35.59987793989619,5.192857142857143,17.02285714285714,21.51714285714285,13.62428571428572,88.47285714285714,0.8757142857142857,15.34857142857143,0.2542857142857143,16.70428571428571,45.67857142857143,-0.6964285714285712,21.78607142857143,0.8985714285714286,0.875,0,0,1,1928428.571428571,17.38,845.853,4529.97,2023-05-15
2023-05-22,2023-05-28,2023,5,21,CALDAS,35.59987793989619,7.111428571428571,16.84428571428571,21.30285714285714,13.68714285714286,89.41428571428571,0.8871428571428571,15.15571428571429,0.2742857142857143,17.82285714285714,43.63285714285714,1.546071428571428,21.685,0.885,0.8685714285714285,0,0,1,1844857.142857143,17.38,845.853,4486.03,2023-05-22
2023-05-29,2023-06-04,2023,6,22,CALDAS,40.18399900761777,6.167142857142857,16.38714285714286,21.37,12.53571428571429,86.32285714285715,0.8985714285714286,17.94,0.3042857142857142,23.41857142857143,42.62714285714286,0.2346428571428571,21.31071428571429,0.8839285714285714,0.8692857142857142,0,0,0,1745285.714285714,15.88,753.422,4412.59,2023-05-29
2023-06-05,2023-06-11,2023,6,23,CALDAS,43.62208980840896,5.577142857142857,16.45428571428571,21.67571428571429,12.46714285714286,86.63714285714286,0.8814285714285715,16.86285714285714,0.2671428571428572,24.04857142857143,40.75428571428571,-0.6432142857142855,21.46642857142857,0.8857142857142857,0.8707142857142858,0,0,0,1681428.571428571,15.88,753.422,4234.89,2023-06-05
2023-06-12,2023-06-18,2023,6,24,CALDAS,43.62208980840896,1.254285714285714,16.15428571428571,21.15142857142857,12.07,83.56857142857143,0.8557142857142858,18.04571428571429,0.3757142857142857,20.11,36.81428571428572,-7.629285714285714,21.375,0.8807142857142858,0.8660714285714286,0,0,0,1602285.714285714,15.88,753.422,4167.44,2023-06-12
2023-06-19,2023-06-25,2023,6,25,CALDAS,43.62208980840896,6.594285714285713,16.41428571428571,21.32,12.35571428571428,85.36,0.8271428571428572,18.08857142857143,0.3014285714285714,19.59285714285714,37.41571428571429,-0.0617857142857145,21.37928571428571,0.8657142857142858,0.8557142857142858,0,0,0,1489285.714285714,15.88,753.422,4150.14,2023-06-19
2023-06-26,2023-07-02,2023,6,26,CALDAS,43.10649408404757,3.187142857142857,16.47285714285714,21.49571428571429,12.33142857142857,84.67,0.83,17.41428571428571,0.3028571428571429,16.61285714285714,40.03142857142857,-2.605,21.41071428571428,0.8485714285714285,0.8435714285714286,0,0,0,1390571.428571429,15.88,753.422,4172.82,2023-06-26
2023-07-03,2023-07-09,2023,7,27,CALDAS,41.8175047731441,7.888571428571429,16.47571428571429,21.3,12.87571428571428,87.78142857142858,0.8414285714285714,14.48,0.2371428571428571,18.92428571428572,42.97285714285714,1.821428571428572,21.31678571428571,0.8385714285714285,0.8371428571428572,0,0,0,1368571.428571429,15.63,851.998,4176.67,2023-07-03
2023-07-10,2023-07-16,2023,7,28,CALDAS,41.8175047731441,2.565714285714286,16.74142857142857,21.72714285714286,12.62714285714286,84.20285714285716,0.8214285714285714,17.15714285714285,0.2414285714285714,20.23571428571428,40.34571428571429,-0.7389285714285712,21.46071428571429,0.83,0.8314285714285714,0,0,0,1328857.142857143,15.63,851.998,4135.29,2023-07-10
2023-07-17,2023-07-23,2023,7,29,CALDAS,41.8175047731441,1.0,16.29714285714286,21.04428571428572,12.36714285714286,82.05285714285715,0.7957142857142857,17.61142857142857,0.4057142857142857,14.64142857142857,34.23428571428571,-2.749642857142857,21.39178571428572,0.8221428571428571,0.8235714285714286,0,0,0,1283142.857142857,15.63,851.998,4007.57,2023-07-17
