departamento;anio_referencia_y;produccion_anual_desde_semana_t;produccion_mensual_proxy_t;produccion_anual_departamental_t;area_cosechada_departamental_ha;rendimiento_departamental_t_ha;peso_mensual_prod_nacional;produccion_nacional_mensual_oficial_miles_sacos;valor_cosecha_anual_millones;PRECTOTCORR;IMERG_PRECTOT;lluvia_acum_4s;lluvia_acum_8s;T2M_mean;T2M_MAX_mean;T2M_MIN_mean;RH2M_mean;QV2M_mean;GWETTOP_mean;GWETROOT_mean;ALLSKY_SFC_SW_DWN_mean;WS2M_mean;anomalia_lluvia_semana_iso_mean;t2m_max_ma_4s_mean;gwetroot_ma_4s_mean;gwettop_ma_4s_mean;indice_climatico_base_x_mean;indice_climatico_ajustado_x_mean;dummy_exceso_lluvia_p75_any;dummy_exceso_lluvia_p75_mean;dummy_estres_hidrico_p25_any;dummy_estres_hidrico_p25_mean;dummy_temp_max_alta_p75_any;dummy_temp_max_alta_p75_mean;dummy_indice_climatico_bajo_p25_any;dummy_indice_climatico_bajo_p25_mean;dummy_indice_climatico_alto_p75_any;dummy_indice_climatico_alto_p75_mean;dummy_trm_lag4_alta_p75_any;dummy_trm_lag4_alta_p75_mean;dummy_devaluacion_4s_p75_any;dummy_devaluacion_4s_p75_mean;dummy_precio_interno_alto_p75_any;dummy_precio_interno_alto_p75_mean;dummy_precio_externo_alto_p75_any;dummy_precio_externo_alto_p75_mean;dummy_exportaciones_altas_p75_any;dummy_exportaciones_altas_p75_mean;precio_interno_cop_carga_mean;precio_interno_cop_carga_lag_1s_mean;precio_interno_cop_carga_lag_4s_mean;precio_interno_cop_carga_ma_4s_mean;precio_interno_cop_carga_var_4s_mean;precio_externo_exdock_cent_usd_lb_mean;precio_externo_exdock_cent_usd_lb_lag_1s_mean;precio_externo_exdock_cent_usd_lb_lag_4s_mean;precio_externo_exdock_cent_usd_lb_ma_4s_mean;precio_externo_exdock_cent_usd_lb_var_4s_mean;exportaciones_mensual_miles_sacos_mean;exportaciones_mensual_miles_sacos_lag_1s_mean;exportaciones_mensual_miles_sacos_lag_4s_mean;exportaciones_mensual_miles_sacos_ma_4s_mean;exportaciones_mensual_miles_sacos_var_4s_mean;trm_viernes_cop_usd_mean;trm_promedio_semana_cop_usd_mean;trm_viernes_cop_usd_lag_1s_mean;trm_viernes_cop_usd_lag_4s_mean;trm_viernes_cop_usd_ma_4s_mean;trm_viernes_cop_usd_var_4s_mean;nivel;dias_productivos_periodo_2021_2024;diff_target_anual
CAUCA;2023;2.955,75;226,0905134;2955,75;2.565,66;1,15;0,076491758;868;11143094,65;219,8314286;3692;852,4214286;1688,968571;21,75428571;26,75535714;18,43274725;82,83192308;15,01510989;0,785824176;0,787994505;14,90771978;1,327884615;-0,161001374;26,75389423;0,788317308;0,785762363;0,489834087;0,846950226;1;0,173076923;1;0,307692308;1;0,5;1;0,326923077;1;0,211538462;0;0;0;0;1;0,038461538;1;0,153846154;1;0,096153846;1624093,063;1633925,481;1660387,019;1638151,442;-0,01727956;18,76211538;18,75730769;18,74288462;18,75490385;0,004430766;882,6645385;882,0552115;880,2272308;881,7505481;0,010405481;4314,476731;4323,717115;4333,479615;4381,418269;4340,771923;-0,014384973;PANEL_DEPARTAMENTAL;7;-7,293242367
CAUCA;2024;3.373,60;231,1337851;3373,6;2.370,13;1,42;0,068512504;959;16061885,36;235,07;3692;951,7085714;1911,5;22,01057692;27,07244505;18,71535714;83,18991758;15,31497253;0,780357143;0,783873626;15,36145604;1,434368132;0,132048077;27,05918956;0,784739011;0,78114011;0,489452114;0,846835634;1;0,269230769;1;0,25;1;0,423076923;1;0,307692308;1;0,25;0;0;0;0;1;0,307692308;1;0,923076923;1;0,153846154;1890475,275;1864736,264;1790620,879;1852584,478;0,053030621;24,98961538;24,83326923;24,36423077;24,75509615;0,035338078;1025,776596;1021,214019;1007,526288;1018,932731;0,021270067;4071,300769;4069,508846;4060,148269;4036,268269;4056,672115;0,008866374;PANEL_DEPARTAMENTAL;7;-27,96137333
HUILA;2021;4.880,42;419,4747571;4880,42;4.604,17;1,06;0,085950545;1081;10768530,45;242,7471429;3692;970,3457143;1867,953333;15,30115385;19,52516484;12,05107143;88,26565934;12,05777473;0,837307692;0,842115385;13,8007967;1,153269231;0,678614011;19,47734127;0,844112485;0,838771368;0,591810047;0,877543014;1;0,365384615;0;0;1;0,038461538;1;0,019230769;1;0,423076923;0;0;0;0;1;0,076923077;0;0;1;0,673076923;1529753,663;1510154,762;1473178,814;1500016,712;0,059366631;15,60423077;15,61384615;15,6055102;15,61865385;-0,001995547;1042,890981;1041,060596;1033,339;1040,145404;0,101065734;3749,625192;3746,956154;3739,074038;3725,513061;3745,0002;0,01104246;PANEL_DEPARTAMENTAL;7;-16,78341623
HUILA;2022;4.712,69;369,069184;4712,69;4.706,54;1;0,078313911;868;14502232,06;216,73;3692;871,1885714;1767,91;15,19321429;19,63456044;11,79815934;87,71241758;11,88546703;0,807252747;0,797664835;13,74005495;1,145192308;0,178284341;19,65852335;0,797616758;0,807245879;0,558455523;0,867536657;1;0,288461538;1;0,076923077;1;0,038461538;1;0,115384615;1;0,346153846;0;0;0;0;1;0,596153846;0;0;1;0,096153846;2150401,557;2152731,227;2163461,996;2154378,892;-0,004463023;17,52461538;17,44769231;17,21692308;17,40923077;0,01810438;952,7013462;955,2432692;962,8690385;956,5142308;-0,000597839;4264,701731;4258,470769;4248,758654;4201,031731;4241,665577;0,015788071;PANEL_DEPARTAMENTAL;7;-9,977109261
HUILA;2023;5.606,46;428,8479809;5606,46;4.846,99;1,16;0,076491758;868;11143094,65;188,89;3692;724,6457143;1429,114286;15,70950549;20,16065934;12,33934066;87,13901099;12,17928571;0,75532967;0,738324176;13,4171978;1,329532967;-0,357100275;20,15607143;0,73959478;0,756160714;0,47926353;0,843779059;1;0,230769231;1;0,346153846;1;0,307692308;1;0,346153846;1;0,153846154;0;0;0;0;1;0,038461538;1;0,153846154;1;0,096153846;1624093,063;1633925,481;1660387,019;1638151,442;-0,01727956;18,76211538;18,75730769;18,74288462;18,75490385;0,004430766;882,6645385;882,0552115;880,2272308;881,7505481;0,010405481;4314,476731;4323,717115;4333,479615;4381,418269;4340,771923;-0,014384973;PANEL_DEPARTAMENTAL;7;-13,83380584
HUILA;2024;6.633,90;454,5051035;6633,9;4.620,47;1,44;0,068512504;959;16061885,36;175,0314286;3692;704,9314286;1391,798571;16,34568681;21,02722527;12,90054945;85,9971978;12,47782967;0,698214286;0,672857143;13,91508242;1,373186813;-0,623611264;21,02958791;0,673887363;0,69904533;0,403913835;0,821174151;1;0,134615385;1;0,596153846;1;0,653846154;1;0,538461538;1;0,076923077;0;0;0;0;1;0,307692308;1;0,923076923;1;0,153846154;1890475,275;1864736,264;1790620,879;1852584,478;0,053030621;24,98961538;24,83326923;24,36423077;24,75509615;0,035338078;1025,776596;1021,214019;1007,526288;1018,932731;0,021270067;4071,300769;4069,508846;4060,148269;4036,268269;4056,672115;0,008866374;PANEL_DEPARTAMENTAL;7;-54,98368347
TOLIMA;2021;6.305,07;541,9242005;6305,07;7.506,04;0,84;0,085950545;1081;10768530,45;198,0842857;3692;783,0885714;1508,298095;22,99337912;28,02857143;18,82049451;74,25673077;14,40049451;0,621373626;0,600796703;16,18068681;1,286208791;-1,277989011;27,99605311;0,603485958;0,624220085;0,435834311;0,830750293;1;0,076923077;1;0,634615385;1;0,326923077;1;0,5;1;0,038461538;0;0;0;0;1;0,076923077;0;0;1;0,673076923;1529753,663;1510154,762;1473178,814;1500016,712;0,059366631;15,60423077;15,61384615;15,6055102;15,61865385;-0,001995547;1042,890981;1041,060596;1033,339;1040,145404;0,101065734;3749,625192;3746,956154;3739,074038;3725,513061;3745,0002;0,01104246;PANEL_DEPARTAMENTAL;7;-25,53703244
TOLIMA;2022;5.325,52;417,0622979;5325,52;7.442,22;0,72;0,078313911;868;14502232,06;327,23;3692;1312,991429;2627,925714;22,23057692;26,72914835;18,38876374;79,17815934;14,77541209;0,738131868;0,714395604;15,61741758;1,16510989;1,205582418;26,78041209;0,708626374;0,732774725;0,612395649;0,883718695;1;0,5;1;0,153846154;1;0,057692308;1;0,057692308;1;0,365384615;0;0;0;0;1;0,596153846;0;0;1;0,096153846;2150401,557;2152731,227;2163461,996;2154378,892;-0,004463023;17,52461538;17,44769231;17,21692308;17,40923077;0,01810438;952,7013462;955,2432692;962,8690385;956,5142308;-0,000597839;4264,701731;4258,470769;4248,758654;4201,031731;4241,665577;0,015788071;PANEL_DEPARTAMENTAL;7;-14,07752922
TOLIMA;2023;5.199,53;397,7211899;5199,53;7.725,03;0,67;0,076491758;868;11143094,65;258,0414286;3692;1026,971429;2063,094286;22,80057692;27,48802198;18,76835165;77,94752747;15,03879121;0,737774725;0,719285714;16,39326923;1,23739011;-0,124967033;27,44263736;0,72231456;0,740364011;0,596087203;0,878826161;1;0,211538462;0;0;1;0,211538462;1;0,153846154;1;0,346153846;0;0;0;0;1;0,038461538;1;0,153846154;1;0,096153846;1624093,063;1633925,481;1660387,019;1638151,442;-0,01727956;18,76211538;18,75730769;18,74288462;18,75490385;0,004430766;882,6645385;882,0552115;880,2272308;881,7505481;0,010405481;4314,476731;4323,717115;4333,479615;4381,418269;4340,771923;-0,014384973;PANEL_DEPARTAMENTAL;7;-12,8297158
TOLIMA;2024;8.120,99;556,3893638;8120,99;7.498,54;1,08;0,068512504;959;16061885,36;271,0928571;3692;1062,811429;2103,001429;23,63096154;28,52197802;19,4785989;75,71538462;15,27552198;0,691016484;0,672417582;16,6357967;1,228241758;0,126021978;28,53867445;0,671929945;0,690357143;0,520890002;0,856267001;1;0,230769231;1;0,230769231;1;0,442307692;1;0,307692308;1;0,269230769;0;0;0;0;1;0,307692308;1;0,923076923;1;0,153846154;1890475,275;1864736,264;1790620,879;1852584,478;0,053030621;24,98961538;24,83326923;24,36423077;24,75509615;0,035338078;1025,776596;1021,214019;1007,526288;1018,932731;0,021270067;4071,300769;4069,508846;4060,148269;4036,268269;4056,672115;0,008866374;PANEL_DEPARTAMENTAL;7;-67,30911585
