fecha_semana_inicio,fecha_semana_fin,anio_semana_fin,anio_referencia_y,mes_referencia_y,semana_iso,dias_productivos_periodo_2021_2024,nivel,produccion_semanal_proxy_t,produccion_anual_proxy_5mun_t,area_cosechada_proxy_ha,rendimiento_proxy_t_ha,produccion_mensual_proxy_t,peso_mensual_prod_nacional,produccion_nacional_mensual_oficial_miles_sacos,PRECTOTCORR,IMERG_PRECTOT,T2M,T2M_MAX,T2M_MIN,RH2M,QV2M,GWETTOP,GWETROOT,ALLSKY_SFC_SW_DWN,WS2M,score_humedad,score_precipitacion,score_temperatura,score_radiacion,indice_climatico_base_x,indice_climatico_ajustado_x,lluvia_acum_4s,lluvia_acum_8s,anomalia_lluvia_semana_iso,t2m_max_ma_4s,gwetroot_ma_4s,gwettop_ma_4s,dummy_exceso_lluvia_p75,dummy_estres_hidrico_p25,dummy_temp_max_alta_p75,dummy_indice_climatico_bajo_p25,dummy_indice_climatico_alto_p75,precio_interno_cop_carga,precio_interno_cop_carga_lag_1s,precio_interno_cop_carga_lag_4s,precio_interno_cop_carga_ma_4s,precio_interno_cop_carga_var_4s,precio_externo_exdock_cent_usd_lb,precio_externo_exdock_cent_usd_lb_lag_1s,precio_externo_exdock_cent_usd_lb_lag_4s,precio_externo_exdock_cent_usd_lb_ma_4s,precio_externo_exdock_cent_usd_lb_var_4s,exportaciones_mensual_miles_sacos,exportaciones_mensual_miles_sacos_lag_1s,exportaciones_mensual_miles_sacos_lag_4s,exportaciones_mensual_miles_sacos_ma_4s,exportaciones_mensual_miles_sacos_var_4s,trm_viernes_cop_usd,trm_promedio_semana_cop_usd,trm_viernes_cop_usd_lag_1s,trm_viernes_cop_usd_lag_4s,trm_viernes_cop_usd_ma_4s,trm_viernes_cop_usd_var_4s,dummy_trm_lag4_alta_p75,dummy_devaluacion_4s_p75,dummy_precio_interno_alto_p75,dummy_precio_externo_alto_p75,dummy_exportaciones_altas_p75,valor_cosecha_anual_millones,valor_cosecha_semanal_proxy_millones,fuente_y_semanal,tipo_target
2023-03-20,2023-03-26,2023,2023,3,12,7,PROXY_NACIONAL_5_DEPARTAMENTOS,286.3488029639397,18010.149999999998,19173.079999999998,0.9393456867649851,1268.116127411733,0.07041119187856476,799.0,2.953142857142857,71.0,19.256,23.706,16.137428571428572,85.06514285714286,13.946571428571428,0.844,0.8542857142857143,14.190571428571428,0.7974285714285715,0.8564955611260472,0.2879995058983385,0.8934950178605002,0.19747092695043447,0.6247677163763914,0.8874303149129174,29.425142857142855,38.89228571428571,-0.9272857142857145,23.46,0.8153571428571429,0.8227142857142857,1,0,0,0,0,2008857.142857143,2013714.285714286,2164857.142857143,2017964.2857142857,-0.07206018213013077,20.88,20.88,21.75,20.88,-0.040000000000000036,906.561,906.561,929.255,906.561,-0.024421714168877173,4741.76,4781.07,4824.25,4849.65,4773.76,-0.02224697,0,0,0,0,0,11143094.647447575,177167.4202386153,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2023-03-27,2023-04-02,2023,2023,3,13,7,PROXY_NACIONAL_5_DEPARTAMENTOS,264.4084789029345,18010.149999999998,19173.079999999998,0.9393456867649851,1268.116127411733,0.07041119187856476,799.0,6.578,71.0,19.19742857142857,23.34857142857143,16.092000000000002,86.98514285714286,14.257714285714286,0.852,0.8588571428571429,13.251999999999999,0.8317142857142856,0.8821507025767386,0.6797912420480514,0.8742244782853918,0.10474765722027751,0.7129688245682608,0.9138906473704782,32.60228571428571,44.05,0.5721428571428566,23.188214285714285,0.8419285714285715,0.8441428571428572,1,0,0,0,1,1894000.0,2008857.142857143,2055000.0,1977714.2857142857,-0.07834549878345498,20.88,20.88,20.88,20.88,0.0,906.561,906.561,906.561,906.561,0.0,4646.08,4662.06,4741.76,4780.89,4740.06,-0.02819768,0,0,0,0,0,11143094.647447575,163592.68001671528,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2023-04-03,2023-04-09,2023,2023,4,14,7,PROXY_NACIONAL_5_DEPARTAMENTOS,209.5576687504215,18010.149999999998,19173.079999999998,0.9393456867649851,898.1042946446635,0.04986656383454128,565.867207197894,6.050571428571429,71.0,19.342285714285715,23.798857142857145,16.06742857142857,86.06,14.21657142857143,0.8531428571428572,0.8611428571428572,14.990285714285713,0.8294285714285714,0.8890187977359343,0.6227842628620839,0.9218838127467575,0.2764762334876367,0.7387950331329329,0.9216385099398798,25.574285714285715,48.94885714285714,-1.5733571428571427,23.46635714285714,0.858,0.8520714285714286,1,0,0,0,1,1942857.142857143,1894000.0,1994285.714285714,1964857.142857143,-0.025787965616045683,17.75,20.88,20.88,20.0975,-0.14990421455938696,723.151,906.561,906.561,860.7085,-0.20231401968538254,4570.91,4588.58,4646.08,4748.14,4695.75,-0.0373262,0,0,0,0,0,11143094.647447575,129655.82946196527,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2023-04-10,2023-04-16,2023,2023,4,15,7,PROXY_NACIONAL_5_DEPARTAMENTOS,209.5576687504215,18010.149999999998,19173.079999999998,0.9393456867649851,898.1042946446635,0.04986656383454128,565.867207197894,5.484285714285714,71.0,19.578857142857142,23.926571428571428,16.439714285714285,86.36457142857144,14.502857142857142,0.8417142857142856,0.8462857142857143,14.215428571428571,0.866,0.8360329134085529,0.5615774195540733,0.9997179921037789,0.19992661171954373,0.7129243643653881,0.9138773093096164,21.066,50.299142857142854,-0.0021428571428581122,23.695,0.8551428571428572,0.8477142857142856,0,0,0,0,1,1976000.0,1942857.142857143,2013714.285714286,1955428.5714285714,-0.018728717366628955,17.75,17.75,20.88,19.314999999999998,-0.14990421455938696,723.151,723.151,906.561,814.856,-0.20231401968538254,4425.27,4483.62,4570.91,4824.25,4596.01,-0.08270301,0,0,0,0,0,11143094.647447575,129655.82946196527,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2023-04-17,2023-04-23,2023,2023,4,16,7,PROXY_NACIONAL_5_DEPARTAMENTOS,209.5576687504215,18010.149999999998,19173.079999999998,0.9393456867649851,898.1042946446635,0.04986656383454128,565.867207197894,8.373428571428573,71.0,19.34,23.580285714285715,16.136857142857146,86.08542857142858,14.187999999999999,0.8640000000000001,0.8728571428571428,14.236857142857144,0.7388571428571429,0.9346468676675739,0.873849669569514,0.9211317916901673,0.20204358134808623,0.8061783062007841,0.9418534918602351,26.486285714285714,55.91142857142857,-0.5589999999999993,23.66357142857143,0.8597857142857143,0.8527142857142858,1,0,0,0,1,2030428.571428571,1976000.0,2008857.142857143,1960821.4285714284,0.010738159579007034,17.75,17.75,20.88,18.5325,-0.14990421455938696,723.151,723.151,906.561,769.0035,-0.20231401968538254,4523.64,4492.18,4425.27,4741.76,4541.48,-0.0459998,0,0,0,0,0,11143094.647447575,129655.82946196527,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2023-04-24,2023-04-30,2023,2023,4,17,7,PROXY_NACIONAL_5_DEPARTAMENTOS,209.5576687504215,18010.149999999998,19173.079999999998,0.9393456867649851,898.1042946446635,0.04986656383454128,565.867207197894,6.176,71.0,19.404857142857143,23.998285714285714,16.02742857142857,86.17857142857143,14.266,0.8640000000000001,0.8788571428571428,15.04257142857143,0.77,0.9464181681160044,0.6363411771972083,0.9424703891708969,0.28164163938128034,0.7681954963398199,0.930458648901946,26.084285714285716,58.686571428571426,-0.025500000000000078,23.826,0.8647857142857143,0.8557142857142858,1,0,0,0,1,1994000.0,2030428.571428571,1894000.0,1985821.4285714284,0.05279831045406547,17.75,17.75,20.88,17.75,-0.14990421455938696,723.151,723.151,906.561,723.151,-0.20231401968538254,4669,4576.77,4523.64,4646.08,4547.2,0.00493319,0,0,0,0,0,11143094.647447575,129655.82946196527,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2023-05-01,2023-05-07,2023,2023,5,18,7,PROXY_NACIONAL_5_DEPARTAMENTOS,288.92755697319694,18010.149999999998,19173.079999999998,0.9393456867649851,1279.5363237384436,0.07104528966934999,806.195505733111,0.6874285714285715,71.0,20.167714285714286,25.181142857142856,16.172285714285714,83.49199999999999,14.479714285714286,0.8371428571428572,0.8502857142857143,18.55742857142857,1.018,0.8343452861349999,0.043110369958618985,0.806542583192329,0.6288811109856609,0.5987662550828361,0.8796298765248508,20.72114285714286,46.29542857142857,-3.545,24.17157142857143,0.8620714285714286,0.8517142857142858,0,0,0,0,0,1959571.428571429,1994000.0,1942857.142857143,1990000.0,0.008602941176470758,17.38,17.75,17.75,17.6575,-0.02084507042253525,845.853,723.151,723.151,753.8264999999999,0.16967687246508678,4552.56,4634.27,4669,4570.91,4542.62,-0.00401452,0,0,0,0,0,11143094.647447575,178762.92610600888,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2023-05-08,2023-05-14,2023,2023,5,19,7,PROXY_NACIONAL_5_DEPARTAMENTOS,288.92755697319694,18010.149999999998,19173.079999999998,0.9393456867649851,1279.5363237384436,0.07104528966934999,806.195505733111,3.756857142857143,71.0,19.828857142857142,24.031714285714287,16.710857142857144,86.29371428571429,14.71342857142857,0.8245714285714285,0.8231428571428572,15.460857142857146,0.9551428571428572,0.7548724725677057,0.37486875424618615,0.9180297048317352,0.3229648865304281,0.6358747131477415,0.8907624139443224,18.993714285714287,40.059714285714286,-2.741071428571428,24.197857142857142,0.8562857142857143,0.8474285714285714,0,0,0,0,0,1905714.285714286,1959571.428571429,1976000.0,1972428.5714285714,-0.035569693464430174,17.38,17.38,17.75,17.564999999999998,-0.02084507042253525,845.853,845.853,723.151,784.502,0.16967687246508678,4564.44,4551.27,4552.56,4425.27,4577.41,0.03144893,0,0,0,0,0,11143094.647447575,178762.92610600888,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2023-05-15,2023-05-21,2023,2023,5,20,7,PROXY_NACIONAL_5_DEPARTAMENTOS,288.92755697319694,18010.149999999998,19173.079999999998,0.9393456867649851,1279.5363237384436,0.07104528966934999,806.195505733111,5.356285714285714,71.0,20.143714285714285,24.568571428571428,16.78,86.10742857142857,14.948857142857145,0.8262857142857142,0.8219999999999998,14.673142857142858,0.8614285714285715,0.7562060054410276,0.5477425730344018,0.8144388042865198,0.24514508298520946,0.6419892086823715,0.8925967626047114,15.976571428571429,42.462857142857146,-0.3720000000000008,24.44492857142857,0.8435714285714285,0.838,0,0,0,0,0,1928428.571428571,1905714.285714286,2030428.571428571,1946928.5714285714,-0.050235699711531745,17.38,17.38,17.75,17.4725,-0.02084507042253525,845.853,845.853,723.151,815.1775,0.16967687246508678,4528.67,4529.97,4564.44,4523.64,4578.67,0.00111194,0,0,0,0,0,11143094.647447575,178762.92610600888,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2023-05-22,2023-05-28,2023,2023,5,21,7,PROXY_NACIONAL_5_DEPARTAMENTOS,288.92755697319694,18010.149999999998,19173.079999999998,0.9393456867649851,1279.5363237384436,0.07104528966934999,806.195505733111,8.773714285714286,71.0,19.588285714285714,23.694,16.649142857142856,88.00771428571429,14.788,0.8502857142857143,0.8494285714285714,14.807714285714287,0.7762857142857144,0.860077259389515,0.9171144462973256,0.997179921037789,0.2584396522524557,0.8183665804579772,0.9455099741373931,18.574285714285715,44.65857142857143,2.4539285714285715,24.36885714285714,0.8362142857142857,0.8345714285714285,0,0,0,0,1,1844857.142857143,1928428.571428571,1994000.0,1909642.8571428573,-0.07479581601948693,17.38,17.38,17.75,17.38,-0.02084507042253525,845.853,845.853,723.151,845.853,0.16967687246508678,4461.66,4486.03,4528.67,4669,4526.83,-0.0444078,0,0,0,0,0,11143094.647447575,178762.92610600888,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2023-05-29,2023-06-04,2023,2023,6,22,7,PROXY_NACIONAL_5_DEPARTAMENTOS,326.1321480451747,18010.149999999998,19173.079999999998,0.9393456867649851,1517.2953914963914,0.08424668264819514,956.0,5.598,71.0,19.237428571428573,23.81342857142857,15.697714285714287,85.75314285714285,14.081999999999999,0.8505714285714285,0.8582857142857143,16.622857142857143,0.9662857142857142,0.8780498885604796,0.573868198381817,0.8873848467757104,0.43776109292085347,0.7382948862236777,0.9214884658671032,23.484857142857145,44.206,-1.7213571428571433,24.02692857142857,0.8382142857142857,0.8379285714285714,0,0,0,0,1,1745285.714285714,1844857.142857143,1959571.428571429,1856071.4285714284,-0.10935335714806482,15.88,17.38,17.38,17.005,-0.08630609896432673,753.422,845.853,845.853,822.7452499999999,-0.10927548876696058,4355.8,4412.59,4461.66,4552.56,4477.64,-0.04321964,0,0,0,0,0,11143094.647447575,201781.85041450328,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2023-06-05,2023-06-11,2023,2023,6,23,7,PROXY_NACIONAL_5_DEPARTAMENTOS,354.03559134915804,18010.149999999998,19173.079999999998,0.9393456867649851,1517.2953914963914,0.08424668264819514,956.0,3.8202857142857143,71.0,19.377142857142857,24.045714285714286,15.757428571428571,85.76771428571428,14.196000000000002,0.8345714285714285,0.8385714285714286,15.573714285714285,0.9317142857142857,0.8059996953451956,0.38172441479834474,0.9333521338597482,0.3341142599074177,0.6609861695214544,0.8982958508564363,23.548285714285715,42.542,-1.7451428571428576,24.030428571428573,0.8420714285714286,0.8404285714285714,0,0,0,0,1,1681428.571428571,1745285.714285714,1905714.285714286,1799999.9999999998,-0.11769115442278899,15.88,15.88,17.38,16.63,-0.08630609896432673,753.422,753.422,845.853,799.6375,-0.10927548876696058,4173.66,4234.89,4355.8,4564.44,4379.95,-0.08561401,0,0,0,0,0,11143094.647447575,219046.04364587416,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2023-06-12,2023-06-18,2023,2023,6,24,7,PROXY_NACIONAL_5_DEPARTAMENTOS,354.03559134915804,18010.149999999998,19173.079999999998,0.9393456867649851,1517.2953914963914,0.08424668264819514,956.0,1.0871428571428572,71.0,19.315428571428573,24.194857142857142,15.428857142857144,81.70085714285715,13.376285714285714,0.8094285714285714,0.8111428571428572,16.527428571428572,1.1871428571428573,0.6997446511702488,0.08631338397875363,0.9130475653318298,0.4283335215084115,0.5590008934634946,0.8677002680390483,19.27914285714286,35.255714285714284,-6.759928571428572,23.936999999999998,0.8393571428571429,0.8362142857142857,0,0,0,0,0,1602285.714285714,1681428.571428571,1928428.571428571,1718464.2857142854,-0.16912363878805825,15.88,15.88,17.38,16.255,-0.08630609896432673,753.422,753.422,845.853,776.52975,-0.10927548876696058,4145.72,4167.44,4173.66,4528.67,4284.21,-0.08456125,0,0,0,0,0,11143094.647447575,219046.04364587416,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
2023-06-19,2023-06-25,2023,2023,6,25,7,PROXY_NACIONAL_5_DEPARTAMENTOS,354.03559134915804,18010.149999999998,19173.079999999998,0.9393456867649851,1517.2953914963914,0.08424668264819514,956.0,4.192285714285714,71.0,19.405428571428573,24.139428571428574,15.635142857142858,83.76714285714286,13.872285714285715,0.7931428571428571,0.7814285714285715,16.574857142857145,1.044857142857143,0.6074796763176323,0.4219319374961398,0.9426583944350447,0.4330190809529187,0.6187183318369053,0.8856154995510715,14.697714285714286,33.272,-0.9325714285714284,24.048357142857142,0.8223571428571429,0.8219285714285713,0,0,0,0,0,1489285.714285714,1602285.714285714,1844857.142857143,1629571.4285714282,-0.19273656496825164,15.88,15.88,17.38,15.88,-0.08630609896432673,753.422,753.422,845.853,753.422,-0.10927548876696058,4168.88,4150.14,4145.72,4461.66,4211.02,-0.06562132,0,0,0,0,0,11143094.647447575,219046.04364587416,mensualizacion_estacionalidad_nacional_y_semanalizacion_calendario_dias,proxy_operacional_no_observada
